ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
2893,Andhra Pradesh,GUNTUR,2006,Kharif     ,Rice,288638.0,783941.0
2907,Andhra Pradesh,GUNTUR,2006,Rabi       ,Rice,28933.0,100947.0
2925,Andhra Pradesh,GUNTUR,2007,Kharif     ,Rice,283000.0,976000.0
2934,Andhra Pradesh,GUNTUR,2007,Rabi       ,Rice,24000.0,85000.0
2947,Andhra Pradesh,GUNTUR,2008,Kharif     ,Rice,281491.0,959321.0
2959,Andhra Pradesh,GUNTUR,2008,Rabi       ,Rice,51358.0,187662.0
2980,Andhra Pradesh,GUNTUR,2009,Kharif     ,Rice,190526.0,683226.0
2993,Andhra Pradesh,GUNTUR,2009,Rabi       ,Rice,112342.0,383423.0
3017,Andhra Pradesh,GUNTUR,2010,Kharif     ,Rice,271072.0,649760.0
3032,Andhra Pradesh,GUNTUR,2010,Rabi       ,Rice,58393.0,201806.0
3054,Andhra Pradesh,GUNTUR,2011,Kharif     ,Rice,281790.0,1080921.0
3068,Andhra Pradesh,GUNTUR,2011,Rabi       ,Rice,11012.0,39060.0
3095,Andhra Pradesh,GUNTUR,2012,Kharif     ,Rice,174699.0,607778.0
3120,Andhra Pradesh,GUNTUR,2012,Rabi       ,Rice,8362.0,29903.0
3147,Andhra Pradesh,GUNTUR,2013,Kharif     ,Rice,280060.0,912716.0
3169,Andhra Pradesh,GUNTUR,2013,Rabi       ,Rice,48107.0,183288.0
3199,Andhra Pradesh,GUNTUR,2014,Kharif     ,Rice,255607.0,1000190.0
3222,Andhra Pradesh,GUNTUR,2014,Rabi       ,Rice,29695.0,111742.0
3231,Andhra Pradesh,GUNTUR,2014,Whole Year ,Rice,285302.0,1111932.0
3244,Andhra Pradesh,KADAPA,1997,Kharif     ,Rice,47700.0,77500.0
3255,Andhra Pradesh,KADAPA,1997,Rabi       ,Rice,13000.0,27700.0
3271,Andhra Pradesh,KADAPA,1998,Kharif     ,Rice,59200.0,169800.0
3281,Andhra Pradesh,KADAPA,1998,Rabi       ,Rice,17000.0,41600.0
3298,Andhra Pradesh,KADAPA,1999,Kharif     ,Rice,54783.0,134484.0
3312,Andhra Pradesh,KADAPA,1999,Rabi       ,Rice,6828.0,12921.0
3335,Andhra Pradesh,KADAPA,2000,Kharif     ,Rice,60412.0,170120.0
3353,Andhra Pradesh,KADAPA,2000,Rabi       ,Rice,7426.0,6134.0
3383,Andhra Pradesh,KADAPA,2001,Kharif     ,Rice,38218.0,96883.0
3402,Andhra Pradesh,KADAPA,2001,Rabi       ,Rice,37550.0,98231.0
3429,Andhra Pradesh,KADAPA,2002,Kharif     ,Rice,27457.0,56424.0
3445,Andhra Pradesh,KADAPA,2002,Rabi       ,Rice,9203.0,16446.0
3485,Andhra Pradesh,KADAPA,2003,Kharif     ,Rice,23356.0,60025.0
3501,Andhra Pradesh,KADAPA,2003,Rabi       ,Rice,10767.0,24032.0
3539,Andhra Pradesh,KADAPA,2004,Kharif     ,Rice,46932.0,149619.0
3555,Andhra Pradesh,KADAPA,2004,Rabi       ,Rice,5689.0,11424.0
3583,Andhra Pradesh,KADAPA,2005,Kharif     ,Rice,45556.0,85828.0
3598,Andhra Pradesh,KADAPA,2005,Rabi       ,Rice,21197.0,55791.0
3625,Andhra Pradesh,KADAPA,2006,Kharif     ,Rice,41908.0,114493.0
3640,Andhra Pradesh,KADAPA,2006,Rabi       ,Rice,4997.0,10963.0
3662,Andhra Pradesh,KADAPA,2007,Kharif     ,Rice,45000.0,139000.0
3669,Andhra Pradesh,KADAPA,2007,Rabi       ,Rice,17000.0,45000.0
