,Unnamed: 0,State,Year,Season,Crop,Area,Production,Rainfall
1957,11588,Arunachal Pradesh,1999,Kharif     ,Rice,5354.0,5400.0,2316.6
1968,11599,Arunachal Pradesh,2000,Kharif     ,Rice,5343.0,3036.0,2596.8
1979,11610,Arunachal Pradesh,2001,Kharif     ,Rice,8300.0,10458.0,2036.0
1990,11621,Arunachal Pradesh,2002,Kharif     ,Rice,5580.0,2490.0,2389.2
2001,11632,Arunachal Pradesh,2003,Kharif     ,Rice,5582.0,3830.0,2451.8
2009,11640,Arunachal Pradesh,2004,Kharif     ,Rice,5585.0,2383.0,2545.7
2019,11650,Arunachal Pradesh,2005,Kharif     ,Rice,4612.0,2509.0,2335.5
2025,11656,Arunachal Pradesh,2006,Kharif     ,Rice,5615.0,3961.0,2259.6
2034,11665,Arunachal Pradesh,2007,Kharif     ,Rice,5500.0,3971.0,3020.7
2042,11673,Arunachal Pradesh,2008,Kharif     ,Rice,5625.0,4062.0,2244.4
2049,11680,Arunachal Pradesh,2009,Kharif     ,Rice,4995.0,2643.33,1749.9
2056,11687,Arunachal Pradesh,2010,Kharif     ,Rice,5002.0,4073.0,2855.7
2063,11694,Arunachal Pradesh,2011,Kharif     ,Rice,5082.0,4438.0,2193.7
2070,11701,Arunachal Pradesh,2012,Kharif     ,Rice,5080.0,4487.0,3440.3
2078,11709,Arunachal Pradesh,2013,Kharif     ,Rice,2280.0,1976.0,2042.9
2085,11716,Arunachal Pradesh,2014,Kharif     ,Rice,2280.0,2908.0,2403.2
2093,11724,Arunachal Pradesh,1997,Kharif     ,Rice,6200.0,5800.0,2274.9
2103,11734,Arunachal Pradesh,1998,Kharif     ,Rice,6210.0,2890.0,3616.7
2115,11746,Arunachal Pradesh,1999,Kharif     ,Rice,6250.0,5650.0,2316.6
2122,11753,Arunachal Pradesh,2000,Kharif     ,Rice,5420.0,3850.0,2596.8
2129,11760,Arunachal Pradesh,2001,Kharif     ,Rice,11450.0,16030.0,2036.0
2137,11768,Arunachal Pradesh,2002,Kharif     ,Rice,5500.0,5400.0,2389.2
2144,11775,Arunachal Pradesh,2003,Kharif     ,Rice,5500.0,5400.0,2451.8
2152,11783,Arunachal Pradesh,2004,Kharif     ,Rice,6139.0,7669.0,2545.7
2159,11790,Arunachal Pradesh,2005,Kharif     ,Rice,6200.0,7667.0,2335.5
2167,11798,Arunachal Pradesh,2006,Kharif     ,Rice,6375.0,8087.0,2259.6
